class_a,class_b,rank,feature,mean_abs_shap_diff
Benign,Likely benign,1,allofus250k_gvs_max_af,2.036657321782141
Benign,Likely benign,2,gnomad_af,1.9588390237905895
Benign,Likely benign,3,ditto_score,1.822385227673757
Benign,Likely benign,4,metarnn_score,0.69687462037479
Benign,Likely benign,5,bayesdel_bayesdel_addaf_rankscore,0.5927975502052332
Benign,Likely benign,6,gnomad3_af_afr,0.5680569541507065
Benign,Likely benign,7,clinpred_score,0.4512353086948193
Benign,Likely benign,8,metarnn_rank_score,0.37541444819031466
Benign,Likely benign,9,gnomad3_af_nfe,0.36954348981469426
Benign,Likely benign,10,gnomad3_af,0.29670932590281646
Benign,Likely benign,11,allofus250k_gvs_max_ac,0.29114008526418694
Benign,Likely benign,12,bayesdel_bayesdel_addaf_score,0.25099007362361453
Benign,Likely benign,13,allofus250k_gvs_eas_ac,0.24397667311202573
Benign,Likely benign,14,gnomad3_af_fin,0.242645954419073
Benign,Likely benign,15,alphamissense_am_pathogenicity,0.24045058272687478
Benign,Likely benign,16,ncer_score,0.2372845395166827
Benign,Likely benign,17,allofus250k_gvs_afr_ac,0.22949208222486295
Benign,Likely benign,18,mutpred1_mutpred_general_score,0.2171979104839346
Benign,Likely benign,19,revel_score,0.17522287680375362
Benign,Likely benign,20,gmvp_score,0.16844963859226156
Benign,Likely benign,21,mistic_score,0.16456876230435738
Benign,Likely benign,22,mutation_assessor_score,0.15737326778148678
Benign,Likely benign,23,fathmm_xf_coding_fathmm_xf_coding_score,0.1514852071829453
Benign,Likely benign,24,gnomad3_af_asj,0.1504636497498277
Benign,Likely benign,25,gmvp_rank_score,0.1487118998900429
Benign,Likely benign,26,chasmplus_pval,0.12190502345156741
Benign,Likely benign,27,primateai_primateai_score,0.12092983279844174
Benign,Likely benign,28,regeneron_all_an,0.11991780108374062
Benign,Likely benign,29,vest_score,0.1173266029940183
Benign,Likely benign,30,hg19_pos,0.11580975778454318
Benign,Likely benign,31,allofus250k_gvs_oth_ac,0.10921157552424075
Benign,Likely benign,32,original_input_pos,0.10601749881440885
Benign,Likely benign,33,regeneron_all_ac,0.10493413542102405
Benign,Likely benign,34,varity_r_varity_er,0.10398597315269
Benign,Likely benign,35,gnomad3_af_sas,0.10315009041771656
Benign,Likely benign,36,regeneron_all_af,0.10256573766825891
Benign,Likely benign,37,vest_pval,0.09829540053359773
Benign,Likely benign,38,allofus250k_gvs_sas_ac,0.09764209302252035
Benign,Likely benign,39,metasvm_rankscore,0.09565925575724411
Benign,Likely benign,40,polyphen2_hdiv_rank,0.09511800742621453
Benign,Likely benign,41,gnomad_af_nfe,0.09336259689207753
Benign,Likely benign,42,chasmplus_laml_pval,0.09321558637893711
Benign,Likely benign,43,allofus250k_gvs_amr_ac,0.0927397131361415
Benign,Likely benign,44,allofus250k_gvs_all_ac,0.09083048789006323
Benign,Likely benign,45,primateai_primateai_rankscore,0.0898682852398735
Benign,Likely benign,46,mutpred2_score,0.08811562651820022
Benign,Likely benign,47,chasmplus_stad_pval,0.08788644493510032
Benign,Likely benign,48,chasmplus_ov_pval,0.08781940950038014
Benign,Likely benign,49,chasmplus_tgct_pval,0.08735872268203965
Benign,Likely benign,50,dann_score,0.08309175330518113
Benign,Likely benign,51,phastcons_phastcons17way_primate,0.08250139591057422
Benign,Likely benign,52,fathmm_xf_score,0.0798071882035003
Benign,Likely benign,53,lrt_lrt_score,0.0796316140591922
Benign,Likely benign,54,chasmplus_coad_pval,0.0788410863556837
